_rank|_name|_score|_link|head|emotion|color shade|eye|clothing|house of|texture|unique|class|name|backdrop|mouth
1|BitToonDAO #294|2579.647264824638|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/294|Warrior|None|Emerald Jettie|Warrior|Warrior|Market|Plastic||||Warrior|Warrior
2|BitToonDAO #97|2571.362029466127|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/97|Warrior|None|Dusty Cyanie|Warrior|Warrior|Giant|Plastic||||Warrior|Warrior
3|Saylor|2396.625|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/509||||||Giant||The Giant||Saylor||
4|Penny|2385.157894736842|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/76||||||Coin||The Coin||Penny||
5|Mark|2382.1|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/521||||||Dreamer||The Dreamer||Mark||
6|BitToonDAO #336|1469.9272193229317|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/336|Tengu Mask|None|Silver Lavandie|None|Oriental Uniform|Media|Clay Dough||||Skateboard|Face Mask
7|BitToonDAO #414|1387.5819249527513|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/414|Chubby Unicorn|None|Sunset Rubie|None|Graduation Gown|Cypher|Wood||||Double Chups|None
8|BitToonDAO #16|1355.7651037923908|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/16|Santa Hat|None|Silver Lavandie|Cyclops|Count|Seed|Fur||||Devil Wings|None
9|BitToonDAO #564|1289.4649201673908|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/564|Safety Helmet|None|Elegant Goldie|Cyclops|T-Shirt|Chef|Plastic||||Skateboard|None
10|BitToonDAO #158|831.1654057355119|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/158|None|None|Flamingo Zirconie|None|Kid's Overalls|Bank|Plastic||||Racket|Lollipop
11|BitToonDAO #106|808.8630110346959|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/106|Santa Hat|None|Dusty Cyanie|Eyeglasses|None|Bear|Mummy||||Racket|Moustache
12|BitToonDAO #586|652.0662569844724|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/586|Bunny Ears|None|Scalet Bluie|Snorkeling Goggles|Fur Coat|Miner|Jelly Bowl||||Warrior|None
13|BitToonDAO #188|574.0299384419039|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/188|Bunny Ears|None|Morning Galaxie|Snorkeling Goggles|Fur Coat|Government|Jelly Bowl||||RPG|None
14|BitToonDAO #268|523.952822641038|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/268|Undercut|None|Scalet Bluie|Snorkeling Goggles|Fur Coat|Seed|Jelly Bowl||||Warrior|None
15|BitToonDAO #346|503.19498029711986|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/346|None|None|Emerald Jettie|Bozo Glasses|Superstar Sweater|Knight|Plastic||||None|None
16|BitToonDAO #232|503.10203668113394|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/232|Hat|None|Black Matterie|Sunglasses|Leather Jacket|Market|Plastic||||Double Chups|Moustache&Pipe
17|BitToonDAO #597|501.6284521215455|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/597|Football Helmet|None|Morning Galaxie|None|None|Bank|Mummy||||RPG|Rainbow
18|BitToonDAO #372|500.0792439974594|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/372|Viking Hat|None|Allpeach Varitie|Snorkeling Goggles|Fur Coat|Empress|Jelly Bowl||||RPG|None
19|BitToonDAO #301|493.0299664077542|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/301|Robinhood Hat|None|Morning Galaxie|Confused Glasses|None|Blockchain|Mummy||||Angel Wings|Rainbow
20|BitToonDAO #213|485.3292206083179|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/213|Hat|None|Scalet Bluie|Sunglasses|Leather Jacket|King|Plastic||||Devil Wings|Moustache&Pipe
21|BitToonDAO #71|483.07670803032715|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/71|Cat Ears|None|Black Matterie|3D Goggles|T-Shirt|Virus|Plastic||||Guitar|Rainbow
22|BitToonDAO #304|482.8145817923696|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/304|Robinhood Hat|None|Morning Galaxie|Confused Glasses|None|King|Mummy||||Backpack|Rainbow
23|BitToonDAO #210|481.90357804455283|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/210|Hat|None|Morning Galaxie|Sunglasses|Leather Jacket|Angel|Metal||||Backpack|Moustache&Pipe
24|BitToonDAO #310|479.3370794161767|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/310|Hat|None|Elegant Goldie|Sunglasses|Leather Jacket|Officer|Plastic||||Double Chups|Moustache&Pipe
25|BitToonDAO #163|476.3633543082267|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/163|Pompadour|None|Ocean Canarie|None|Kid's Overalls|Dragon|Plastic||||Angel Wings|None
26|BitToonDAO #319|471.20781950941677|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/319|Hat|None|Sunset Rubie|Sunglasses|Leather Jacket|Queen|Plastic||||Guitar|Moustache&Pipe
27|BitToonDAO #242|465.9911812875529|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/242|Crown|None|Silver Lavandie|None|Oriental Uniform|Giant|Clay Dough||||Warrior|Leather Mask
28|BitToonDAO #44|463.9836035141119|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/44|Viking Hat|None|Black Matterie|Confused Glasses|None|Seed|Mummy||||RPG|Rainbow
29|BitToonDAO #553|456.7027311255784|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/553|Hat|None|Morning Galaxie|Sunglasses|Leather Jacket|Market|Plastic||||RPG|Moustache&Pipe
30|BitToonDAO #280|450.69728432531616|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/280|Football Helmet|None|Scalet Bluie|None|None|Chef|Mummy||||Skateboard|Lollipop
31|BitToonDAO #497|447.99141544049326|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/497|Chef Hat|None|Billiard Whitie|Thug Life|Kid's Overalls|Angel|Jelly Bowl||||Skateboard|None
32|BitToonDAO #0|447.9710149888008|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/0|Hat|None|Sunset Rubie|Sunglasses|Leather Jacket|Dragon|Plastic||||Skateboard|Moustache&Pipe
33|BitToonDAO #552|444.4569525526648|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/552|Tengu Mask|None|Christmas Leafie|None|Oriental Uniform|Gold|Clay Dough||||Skateboard|Bandage
34|BitToonDAO #25|437.8370794161767|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/25|Hat|None|Flamingo Zirconie|Sunglasses|Leather Jacket|Bear|Plastic||||Double Chups|Moustache&Pipe
35|BitToonDAO #338|436.71318362805675|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/338|Tribal Hat|None|Emerald Jettie|Goggles|Gradient Shirt|Bull|Plastic||||Devil Wings|Crow Beak
36|BitToonDAO #514|436.349233773416|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/514|None|None|Morning Galaxie|None|Fur Coat|Officer|Plastic||||Guitar|Lollipop
37|BitToonDAO #533|435.7950556254449|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/533|Chef Hat|None|Flamingo Zirconie|Thug Life|Kid's Overalls|Farmer|Jelly Bowl||||Oxygen Tank|None
38|BitToonDAO #65|435.0192164432182|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/65|Afrohair|Sleepy|Emerald Jettie|3D Goggles|T-Shirt|Pirate|Plastic||||Guitar|None
39|BitToonDAO #330|434.51293950563803|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/330|Pompadour|None|Dusty Cyanie|None|Peony Shirt|Dragon|Plastic||||RPG|None
40|BitToonDAO #197|433.64643192439524|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/197|Bunny Ears|None|Black Matterie|Cyclops|T-Shirt|Coin|Plastic||||Devil Wings|Rainbow
41|BitToonDAO #27|433.0573873067307|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/27|Football Helmet|None|Silver Lavandie|None|None|Bubble|Mummy||||Double Chups|Pipe
42|BitToonDAO #18|421.3144217055409|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/18|Afrohair|None|Elegant Goldie|3D Goggles|T-Shirt|Farmer|Plastic||||Devil Wings|Cigar
43|BitToonDAO #589|420.6526585727163|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/589|Football Helmet|None|Morning Galaxie|None|None|Chef|Mummy||||Skateboard|Pacifier
44|BitToonDAO #431|420.6105553857697|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/431|Robinhood Hat|None|Black Matterie|Eyeglasses|None|Believer|Mummy||||Devil Wings|Rainbow
45|BitToonDAO #349|420.3255106038886|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/349|Pirate Hat|Angry|Aurora Mistie|Eye Pad|Kid's Overalls|Bear|Plastic||||Angel Wings|None
46|BitToonDAO #502|418.73825372630114|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/502|Pompadour|None|Elegant Goldie|None|None|Bank|Plastic||||RPG|None
47|BitToonDAO #81|417.6378978436132|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/81|Tribal Hat|None|Elegant Goldie|Snorkeling Goggles|Fur Coat|Market|Jelly Bowl||||RPG|None
48|BitToonDAO #291|416.7256701350135|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/291|Football Helmet|None|Silver Lavandie|None|None|Market|Mummy||||Oxygen Tank|Pipe
49|BitToonDAO #440|412.72123740928475|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/440|Pompadour|None|Elegant Goldie|None|None|Chef|Plastic||||BitToon Flag|None
50|BitToonDAO #92|412.5938876477513|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/92|Pirate Hat|None|Scalet Bluie|Eye Pad|Leather Jacket|Bubble|Plastic||||None|None
51|BitToonDAO #548|412.0921994833186|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/548|Cat Ears|None|Elegant Goldie|3D Goggles|T-Shirt|Cash|Plastic||||Devil Wings|Cigar
52|BitToonDAO #531|410.79073184465057|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/531|Viking Hat|None|Allpeach Varitie|Thug Life|Kid's Overalls|Turtle|Jelly Bowl||||Oxygen Tank|None
53|BitToonDAO #35|408.57218973402325|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/35|Afrohair|None|Morning Galaxie|3D Goggles|T-Shirt|Bot|Plastic||||Skateboard|Pacifier
54|BitToonDAO #56|405.1982374805512|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/56|Robinhood Hat|None|Black Matterie|Confused Glasses|None|Blockchain|Mummy||||Devil Wings|Pacifier
55|BitToonDAO #409|399.92323741619987|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/409|Pirate Hat|None|Morning Galaxie|Eye Pad|None|Prophet|Plastic||||None|None
56|BitToonDAO #503|399.3508025278263|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/503|Tengu Mask|None|Sunset Rubie|None|Oriental Uniform|Media|Clay Dough||||Devil Wings|Cigar
57|BitToonDAO #215|399.23420624471464|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/215|Viking Hat|None|Scalet Bluie|Confused Glasses|None|Believer|Mummy||||BitToon Flag|Lollipop
58|BitToonDAO #249|396.77036300046916|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/249|None|None|Sunset Rubie|None|Kid's Overalls|Blockchain|Plastic||||None|Pipe
59|BitToonDAO #118|396.6655544828385|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/118|Chef Hat|None|Flamingo Zirconie|None|Leather Jacket|Tiger|Jelly Bowl||||Oxygen Tank|Bandage
60|BitToonDAO #439|393.37083040486823|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/439|Robinhood Hat|None|Scalet Bluie|Confused Glasses|None|Dreamer|Mummy||||RPG|Lollipop
61|BitToonDAO #39|391.10733034661274|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/39|Chef Hat|None|Flamingo Zirconie|Goggles|T-Shirt|Farmer|Jelly Bowl||||Guitar|Crow Beak
62|BitToonDAO #175|390.2302858859981|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/175|Tengu Mask|None|Sunset Rubie|None|Oriental Uniform|Vampire|Clay Dough||||Skateboard|Cigar
63|BitToonDAO #365|388.1497256447468|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/365|Pirate Hat|None|Scalet Bluie|Eye Pad|Kid's Overalls|Seed|Plastic||||None|Duckie
64|BitToonDAO #7|387.5308984423028|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/7|Chubby Unicorn|None|Dusty Cyanie|None|Kid's Overalls|Prophet|Clay Dough||||Angel Wings|Leather Mask
65|BitToonDAO #58|387.16464313938025|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/58|Crown|None|Christmas Leafie|Thug Life|Kid's Overalls|Dreamer|Jelly Bowl||||BitToon Flag|None
66|BitToonDAO #534|386.5228217996042|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/534|Cat Earphones|None|Black Matterie|Goggles|T-Shirt|Cypher|Jelly Bowl||||BitToon Flag|Crow Beak
67|BitToonDAO #510|385.756141585314|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/510|Crown|None|Emerald Jettie|Bozo Glasses|T-Shirt|Tiger|Jelly Bowl||||Warrior|None
68|BitToonDAO #542|385.5592362274516|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/542|Tribal Hat|None|Elegant Goldie|Snorkeling Goggles|Fur Coat|Bear|Jelly Bowl||||Guitar|None
69|BitToonDAO #377|383.11788922839764|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/377|Viking Hat|None|Scalet Bluie|Confused Glasses|None|Gold|Mummy||||Double Chups|Lollipop
70|BitToonDAO #276|380.0048513010383|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/276|Crown|None|Christmas Leafie|None|Kid's Overalls|Queen|Clay Dough||||Devil Wings|Bandage
71|BitToonDAO #323|378.8951148000123|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/323|Reindeer Hoodie|Angry|Christmas Leafie|None|Oriental Uniform|Empress|Plastic||||Guitar|None
72|BitToonDAO #317|378.67127152239067|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/317|Afrohair|None|Dusty Cyanie|3D Goggles|T-Shirt|Miner|Plastic||||Oxygen Tank|Moustache
73|BitToonDAO #245|377.4602767050607|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/245|Chef Hat|None|Flamingo Zirconie|None|Leather Jacket|Virus|Jelly Bowl||||Guitar|Bandage
74|BitToonDAO #145|375.9378319396812|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/145|Chubby Unicorn|None|Ocean Canarie|None|Peony Shirt|Chef|Jelly Bowl||||Angel Wings|Leather Mask
75|BitToonDAO #448|372.9860741714214|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/448|Tribal Hat|None|Morning Galaxie|Goggles|Gradient Shirt|Giant|Plastic||||RPG|Crow Beak
76|BitToonDAO #352|371.2887672741302|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/352|Cat Ears|None|Morning Galaxie|3D Goggles|T-Shirt|Turtle|Plastic||||Skateboard|Pacifier
77|BitToonDAO #127|371.0526057823027|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/127|Lovelove Headband|None|Christmas Leafie|None|Superstar Sweater|Bull|Plastic||||Butterfly Wings|Lollipop
78|BitToonDAO #182|369.78176020782394|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/182|Robinhood Hat|None|Morning Galaxie|Confused Glasses|None|Angel|Mummy||||Double Chups|Pacifier
79|BitToonDAO #592|369.44904930016844|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/592|Cat Ears|None|Dusty Cyanie|3D Goggles|T-Shirt|Cash|Plastic||||Oxygen Tank|Moustache
80|BitToonDAO #267|367.97625160605924|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/267|Cat Ears|None|Sunset Rubie|3D Goggles|T-Shirt|Chef|Plastic||||Skateboard|Crow Beak
80|BitToonDAO #272|367.97625160605924|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/272|Afrohair|None|Sunset Rubie|3D Goggles|T-Shirt|Chef|Plastic||||Skateboard|Crow Beak
82|BitToonDAO #191|367.8299950473926|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/191|Farmer Hat|Angry|Allpeach Varitie|None|Oriental Uniform|Tiger|Plastic||||Butterfly Wings|None
83|BitToonDAO #146|366.171517967705|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/146|Crown|None|Christmas Leafie|None|Kid's Overalls|Blockchain|Clay Dough||||Backpack|Bandage
84|BitToonDAO #393|363.5980235699863|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/393|Chubby Unicorn|Angry|Allpeach Varitie|None|Oriental Uniform|Phoenix|Plastic||||Oxygen Tank|None
85|BitToonDAO #152|362.65097801757526|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/152|Tribal Hat|None|Elegant Goldie|Goggles|Gradient Shirt|Gold|Plastic||||Double Chups|Crow Beak
86|BitToonDAO #229|360.8886236995962|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/229|Cat Earphones|None|Flamingo Zirconie|None|Leather Jacket|Dreamer|Jelly Bowl||||Skateboard|Leather Mask
87|BitToonDAO #413|360.1506805110684|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/413|Farmer Hat|Blushy|Allpeach Varitie|None|None|Vampire|Plastic||||Butterfly Wings|None
88|BitToonDAO #547|357.9073303466127|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/547|Devil Horns|None|Elegant Goldie|Goggles|T-Shirt|Believer|Jelly Bowl||||Guitar|Crow Beak
89|BitToonDAO #69|357.5251492685781|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/69|Chubby Unicorn|None|Cosmic Lovie|Bozo Glasses|Graduation Gown|Seed|Plastic||||RPG|None
90|BitToonDAO #518|354.70460142947695|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/518|Crown|None|Silver Lavandie|None|Kid's Overalls|Phoenix|Clay Dough||||Skateboard|Leather Mask
91|BitToonDAO #499|353.8614908380881|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/499|Tribal Hat|None|Sunset Rubie|Goggles|Gradient Shirt|Demon|Plastic||||RPG|Crow Beak
92|BitToonDAO #32|350.3858987226811|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/32|Viking Hat|None|Allpeach Varitie|Goggles|T-Shirt|Bear|Jelly Bowl||||Oxygen Tank|Crow Beak
93|BitToonDAO #144|350.2773682965926|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/144|Viking Hat|None|Sunset Rubie|None|Kid's Overalls|King|Jelly Bowl||||Warrior|None
94|BitToonDAO #113|350.02066248462575|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/113|Viking Hat|None|Elegant Goldie|Confused Glasses|None|King|Mummy||||Skateboard|None
95|BitToonDAO #563|348.29943313248737|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/563|Chubby Unicorn|Blushy|Morning Galaxie|Eyeglasses|Oriental Uniform|Queen|Plastic||||Wooden Staff|None
96|BitToonDAO #293|347.33746034900906|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/293|Devil Horns|None|Elegant Goldie|Bozo Glasses|T-Shirt|Bull|Jelly Bowl||||Oxygen Tank|None
97|BitToonDAO #296|346.72530285332505|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/296|Witch Hat|Sleepy|Flamingo Zirconie|None|Count|Officer|Plastic||||Butterfly Wings|Lollipop
98|BitToonDAO #225|346.3795234949944|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/225|Devil Horns|None|Sunset Rubie|Goggles|T-Shirt|Cypher|Jelly Bowl||||Skateboard|Crow Beak
99|BitToonDAO #28|345.6284085731926|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/28|Cat Earphones|None|Dusty Cyanie|None|Leather Jacket|Demon|Jelly Bowl||||Guitar|Leather Mask
100|BitToonDAO #490|345.5907605976318|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/490|Witch Hat|Angry|Allpeach Varitie|None|Oriental Uniform|Pirate|Plastic||||Butterfly Wings|None
101|BitToonDAO #263|345.3696683954311|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/263|Chubby Unicorn|Sleepy|Morning Galaxie|Confused Glasses|T-Shirt|Farmer|Ceramic||||RPG|None
102|BitToonDAO #298|345.2039154118506|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/298|Cat Ears|None|Silver Lavandie|3D Goggles|T-Shirt|Seed|Metal||||Skateboard|Pipe
103|BitToonDAO #248|344.7342398881035|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/248|None|None|Scalet Bluie|Bozo Glasses|Peony Shirt|Vampire|Plastic||||Double Chups|None
104|BitToonDAO #419|343.4114154404933|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/419|Viking Hat|None|Sunset Rubie|Thug Life|Kid's Overalls|Seed|Jelly Bowl||||Skateboard|None
105|BitToonDAO #546|343.2641975945869|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/546|Undercut|None|Scalet Bluie|Thug Life|Kid's Overalls|Virus|Jelly Bowl||||Oxygen Tank|None
106|BitToonDAO #62|343.1241432481592|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/62|Hat|None|Black Matterie|Cyclops|T-Shirt|Giant|Plastic||||RPG|Rainbow
107|BitToonDAO #189|339.79062703549954|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/189|Undercut|None|Ocean Canarie|None|Kid's Overalls|Chef|Plastic||||None|None
108|BitToonDAO #262|337.86845698968835|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/262|Devil Horns|None|Sunset Rubie|None|Leather Jacket|Coin|Jelly Bowl||||Double Chups|Bandage
109|BitToonDAO #181|336.9104774607907|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/181|Lovelove Headband|Sleepy|Scalet Bluie|None|Count|Virus|Plastic||||Devil Wings|Lollipop
110|BitToonDAO #5|336.4871360828121|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/5|Cap|None|Billiard Whitie|Cyclops|T-Shirt|Miner|Ceramic||||RPG|Duckie
111|BitToonDAO #496|335.8363912282624|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/496|Witch Hat|Angry|Allpeach Varitie|None|Oriental Uniform|Chef|Plastic||||Oxygen Tank|None
112|BitToonDAO #540|333.83940675277057|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/540|Crown|None|Black Matterie|Cyclops|T-Shirt|Believer|Plastic||||Oxygen Tank|Rainbow
113|BitToonDAO #125|333.1440445677913|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/125|Santa Hat|None|Emerald Jettie|Goggles|T-Shirt|Virus|Jelly Bowl||||Skateboard|Crow Beak
114|BitToonDAO #13|332.98693519504894|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/13|Chubby Unicorn|Sleepy|Flamingo Zirconie|None|Count|Officer|Plastic||||Butterfly Wings|Lollipop
115|BitToonDAO #303|332.4856976938114|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/303|Chubby Unicorn|Sleepy|Scalet Bluie|None|Count|Believer|Plastic||||Devil Wings|Lollipop
